Alsace;Le Verre de terres;11, rue Wickram;Colmar;68000;
Alsace;Le Hannong Bar;9, rue Hannong;Strasbourg;67000;
Alsace;Le ChurChill;1, avenue Herrenschmidt;Strasbourg;67000;
Alsace;Terres à Vin des villes;1, rue du Miroir;Strasbourg;67000;
Alsace;L'Épicerie;6, rue du Vieux-Seigle;Strasbourg;67000;
Alsace;Jeannette et les cycleux;30, rue des Tonneliers;Strasbourg;67000;
Alsace;Winstub Muensterstuewel;8, place du Marché-aux-cochons-de-lait;Strasbourg;67000;
Alsace;De la vigne à l'assiette;Rue des Marchands;Colmar;68000;
Aquitaine;Bidegutzia;Route de la blanchisserie;Ascain;64310;
Aquitaine;Xurasko;16, rue de Poissonnerie;Bayonne;64100;
Aquitaine;Chez le Pépère;19, rue Georges-Bonnac;Bordeaux;33000;
Aquitaine;Vini Taste;9, rue du Palais-de-l'Ombrière;Bordeaux;33000;
Aquitaine;Le Bô Bar;8, place Saint-Pierre;Bordeaux;33000;
Aquitaine;La Cave Santa Rita;42, rue Neuve;Dax;40100;
Aquitaine;Lieu dit vin;3, rue de Behobie;Hendaye;64700;
Aquitaine;Au Grain de raisin;11, rue de Sully;Pau;64000;
Aquitaine;Le Bouchon;46, rue du Maréchal-Joffre;Pau;64000;
Aquitaine;L'Envers du décor;11 rue du Clocher;Saint-Émilion;33330;
Aquitaine;Cave des États de Navarre;23, rue d'Espagne;Saint-Jean-Pied-de Port;64220;
Aquitaine;Bar à vin du CIVB;3, cours du XXX-Juillet;Bordeaux;33000;
Aquitaine;L'Essentiel;6, rue Guadet;Saint-Émilion;33330;
Aquitaine;Ibaia;45, quai Jauréguiberry;Bayonne;64100;
Aquitaine;Chez Achille;Avenue Léon-Bonnat;Bayonne;64100;
Auvergne;Le Saint Georges;39, boulevard de l'Union-Soviétique;Clermont-Ferrand;63000;
Auvergne;Le Tout du Cru;7, boulevard Léon-Malfreyt;Clermont-Ferrand;63000;
Auvergne;Le Bar de la mairie;11, rue Philippe-Marcombes;Clermont-Ferrand;63000;
Auvergne;Le Distil;8, rue de la Préfécture;Clermont-Ferrand;63000;
Auvergne;Le Chardonnay;1, place Philippe-Marcombes;Clermont-Ferrand;63000;
Auvergne;Le Bistrot bancal;15, rue des Chaussetiers;Clermont-Ferrand;63000;
Auvergne;la Régalade;9, rue Nestor-Perret;Clermont-Ferrand;63000;
Bourgogne;Le Bistrot Bourguignon;8, rue Monge;Beaune;21200;
Bourgogne;La Part des Anges;24 bis, rue d'Alsace;Beaune;21200;
Bourgogne;Le Verre galant;8, place Saint-Vincent;Chalon-sur-Saône;71530;
Bourgogne;Laroche Wine Bar;18, rue des Moulins;Chablis;89800;
Bourgogne;Le Bistrot des cocottes;3, place Madeleine;Beaune;21200;
Bourgogne;Atheaneum;5, rue de l'Hôtel-Dieu;Beaune;21200;
Bourgogne;Chez Louis;17, place Saint-Vincent;Chalon-sur-Saône;71530;
Bretagne;Le Montparnasse;16, rue Colbert;Brest;29200;
Bretagne;OV;3, rue de Siam;Brest;29200;
Bretagne;Les Vins et une fourchette;1, rue de la fourchette;Fougères;35300;
Bretagne;Le Caveau de l'Europe;Place Émile-Souvestre;Morlaix;29600;
Bretagne;Le Nabuchodonosor;12, rue Hoche;Rennes;35000;
Bretagne;L'Arsouille;17, rue Paul-Bert;Rennes;35000;
Bretagne;Chez Rollais;26, rue du Général-Leclerc;Saint-Brieuc;22000;
Bretagne;Au Vin à l'heure;4, place Bir-Hakeim;Vannes;56000;
Bretagne;Le Scaramouche;3 bis, rue Duhamel;Rennes;35000;
Bretagne;Le Tire-Bouchon;42, rue du Chapitre;Brest;29200;
Bretagne;La Muse vins;10, rue Charles-Berthelot;Brest;29200;
Bretagne;Le Bistrot dela Tour;2, rue Dom-Morice;Quimperlé;29300;
Bretagne;Le Bistroy;18 bis, rue de Locmalo;Port-Louis;56290;
Centre;Le Boulot;9, rue Henry-Drussy;Blois;41000;
Centre;Le Sommelier;5, place Gambetta;Châteauroux;36000;
Centre;Le P'tit Bouchon;64, rue Grande;Châteauroux;36000;
Centre;Au Sommelier;Les Halles-Châtelet;Orléans;45100;
Centre;Aux Cépages;10, rue du Four;Saint-Aignan;41110;
Centre;Le Pampre fou;54, avenue Grammont;Tours;37100;
Centre;L'Entonnoir;114, rue Colbert;Tours;37100;
Centre;Le Jaja;11, place Gaston-Pailhou;Tours;37100;
Centre;Made in Café;3, place du Général-Leclerc;Bourges;18000;
Champagne;Les Crieurs de vin;4, place Jean-Jaurès;Troyes;10000;
Champagne;Estelle et Olivier;32, rue de Turenne;Troyes;10000;
Champagne;Spuntino;4, place Jules-Ferry;Reims;51100;
Champagne;La Cave à Jules;23 bis, rue de Mars;Reims;51100;
Franche-Comté;Les Zinzins du vin;14, rue Madeleine;Besançon;25000;
Franche-Comté;Le Marcotton;41, place de la Liberté;Arbois;39600;
Franche-Comté;Le Vin et l'Assiette;97, rue Battant;Besançon;25000;
Île-de-France;Le Verre Volé;67, rue de Lancry;Paris;75010;
Île-de-France;Au Vin des Rues;21, rue Boulard;Paris;75014;
Île-de-France;Au vieux Comptoir;17, rue des Lavandières-Saintes-Opportune;Paris;75001;
Île-de-France;Au Bon Coin;49, rue des Cloÿs;Paris;75018;
Île-de-France;Au Garde Robe;41, rue de L'Arbre Sec;Paris;75001;
Île-de-France;Vin Chai Moi;33, rue de la Chine;Paris;75020;
Île-de-France;Wine and Bubbles;3, rue Française;Paris;75001;
Île-de-France;Oh! Bigre;4, rue Bridaine;Paris;75017;
Île-de-France;La Bonne Entente;4, place du Petit-Martroy;Pontoise;95300;
Île-de-France;Le Barav;6, rue Charles François Dupuis;Paris;75003;
Île-de-France;La Trinquette;6, rue des Gravilliers;Paris;75003;
Île-de-France;Le Vinght heures Vin;15, rue Joseph de Maistre;Paris;75018;
